NÚM_REGISTRE,NOM_ENTITAT,ADREÇA,CP,MUNICIPI,COMARCA,TELÈFON_FAX,CORREU_ELECTRÒNIC,TIPUS_ENTITAT,MODALITATS
A00001,ASSOCIACIO CENTRE CULTURAL EL SOCIAL,"Font Vella, 40",08221,Terrassa,Vallès Occidental,/,,Associacions civils i culturals,"Basquetbol, Escacs, Futbol sala (Futbol cinc), Hoquei sobre patins"
A00002,AGRUPACIO CULTURAL I ESPORTIVA DELS MEMBRES COS BOMBERS DE BARCELONA,"Provença, 178",08029,Barcelona,Barcelonès,93-2335353 /,,Associacions civils i culturals,"Activitats subaquàtiques, Atletisme, Ciclisme, Excursionisme, Frontennis, Futbol, Vela, Voleibol"
A00003,SOCIETAT ESPORTIVA L'ALZINAR,"PL.DE L'ESTACIO, S/N",08783,Masquefa,Anoia,/,,Associacions civils i culturals,"Billar, Ciclisme, Escacs, Excursionisme, Futbol sala (Futbol cinc), Gimnàstica, Natació, Tennis"
A00004,ASSOCIACIO ESPORTIVA CENTRE CATOLIC DE MATARO,"La Riera, 110",08301,Mataró,Maresme,93-7903298 /,,Institucions Religioses,Basquetbol
A00005,ASSOCIACIO PROPIETARIS I VEINS MAS GUINARDO,"Salvador Riera, 11",08026,Barcelona,Barcelonès,93-2369736 /,,Associacions civils i culturals,Basquetbol
A00006,AGRUPACIO SFERIC,"Faradai, 41",08224,Terrassa,Vallès Occidental,93-7888489 /,,Associacions civils i culturals,"Basquetbol, Hoquei sobre patins"
A00007,ASSOCIACIO DE GENT GRAN L'ESPLAI GRANOLLERS,"Roger de Flor, 68-B 4t. 3a.",08400,Granollers,Vallès Oriental,93-8704093 /,,Associacions civils i culturals,"Billar, Bitlles, Escacs, Petanca"
A00008,SECCIO BILLAR CERCLE DE CATOLICS DE BANYOLES,"ABEURADOR, 12",17820,Banyoles,Pla de l'Estany,/,,Associacions civils i culturals,Billar
A00009,CENTRO DEPORTIVO RECREATIVO CULTURAL EL CERCLE,"URB.TARRUELLA, EDIF.EMBERS, 2N.1R.",43891,Vandellòs i l'Hospitalet de l'Infant,Baix Camp,/,,Associacions civils i culturals,"Escacs, Tennis"
A00010,ZONA RECREATIVA BARCINOVA,"Dr. Pi i Molist, 117 bis",08031,Barcelona,Barcelonès,93-3341010 /,,Associacions civils i culturals,"Excursionisme, Natació, Tennis, Tennis taula, Voleibol"
A00011,CASAL CATOLIC DE SANT ANDREU DE PALOMAR SECCIÓ ESCACS,"Pons i Gallarza, 58-60",08030,Barcelona,Barcelonès,93-3453001 /,clubescacssantandreu@gmail.com,Associacions civils i culturals,"Escacs, Tennis taula"
A00012,CASINO DE LA GARRIGA,"de la Garriga, 95",08530,"Garriga, la",Vallès Oriental,93-8714003 /,,Associacions civils i culturals,"Billar, Escacs, Petanca, Pilota, Tennis, Tennis taula"
A00013,ASSOCIACIO CATALANA DIRIGENTS D'ESPORT,"Conxita Supervia, 17 entl. 4a",08028,Barcelona,Barcelonès,93 487 45 75 / 93 488 04 75,,Associacions civils i culturals,Activitats físico-esportives
A00014,CLUB PETANCA CASINO GRANOLLERS CLUB RITME,"AGUSTI VINYAMATA, 27",08400,Granollers,Vallès Oriental,93-8701805 /,,Associacions civils i culturals,"Escacs, Petanca"
A00015,SECCIO ESPORTIVA DE LLUISOS DE GRACIA,"Nord, 7-10",08024,Barcelona,Barcelonès,93-2183372 /,,Associacions civils i culturals,"Basquetbol, Bàdminton, Tennis taula"
A00016,AGRUPACION DEPORTIVA SAN CIPRIANO,"Arenys, 65-67",08035,Barcelona,Barcelonès,93-2481640 /,jesus@gaiztor.com,Associacions civils i culturals,"Atletisme, Futbol sala (Futbol cinc)"
A00017,DELEGACIO DIOCESANA ATLETICO RECREATIVA (OAR),"ROGER DE LLURIA, 7, 3.2.",08010,Barcelona,Barcelonès,93-3010289 /,,Associacions civils i culturals,"Basquetbol, Futbol sala (Futbol cinc), Tennis taula"
A00018,ATENEO DELTA DEL BESOS,"Doctor Fleming, 5 6è. 3a.",08930,Sant Adrià de Besòs,Barcelonès,/,,Associacions civils i culturals,"Basquetbol, Excursionisme, Futbol, Petanca, Tennis"
A00019,PENYA D'ESCACS CASINO PRADO SUBURENC,"Francisco Guma, 6-14",08870,Sitges,Garraf,93-8940174 /,,Associacions civils i culturals,Escacs
A00020,CADECA (CAMPEONATOS DEPORTIVOS CATOLICOS),"Sant Joaquim, 8-10",08012,Barcelona,Barcelonès,93-2185880 /,,Associacions civils i culturals,"Atletisme, Futbol"
A00021,APA CP CATALONIA,"Perú, 195",08020,Barcelona,Barcelonès,93-3076366 /,,AMPA,"Basquetbol, Escacs, Futbol, Futbol sala (Futbol cinc), Judo, Patinatge artístic"
A00022,APA ESCOLA VEDRUNA,"Germana Victoria, 21",08551,Tona,Osona,93-8870312 /,,AMPA,"Atletisme, Basquetbol, Futbol sala (Futbol cinc), Handbol"
